season,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
봄,19163.3299984297,9580.360955500431,11796.624855460808,12668.497792722264,4631.029913431851,6843.852964121441,3877.984325233799,3975.9193076854353,11374.123476030176,5495.854607481269,3733.1106495838853,1447.3399302969199,5082.5471480966,9944.235889782758,8523.23473545151,18552.80093027784
여름,16597.16143886132,8505.20360380133,9560.603891151111,10293.972904165157,4564.504104062005,6128.110130855134,3543.396281788972,3421.5032823562155,9347.330898008668,4033.25440552417,3333.0702348502914,1413.5039404628417,3808.6029925525495,7759.962505871893,6759.681486621089,16722.49858765608
가을,14904.958723171358,7970.318340061264,10555.612178125259,9800.20927254872,4215.291651770052,5650.858717555842,3189.27854050007,3078.608344304094,8244.126824335865,5035.987364973388,3301.975787139163,1253.0044197950322,3365.789476845011,7331.288630306958,6104.889155525725,14254.714504285026
겨울,20811.828669920174,9171.579296362177,11488.380774348034,12243.785232851978,4123.1229503905815,4654.752759750416,3326.9341432900096,3533.0820102981693,11105.248124065774,4248.665485905331,2837.063804135502,1367.4409476352082,4136.317186968522,10613.362522183685,9272.966386896684,20056.603905653545
