요일,홍대,연남,이태원,종로,을지로,성수,한남,청담,신사,삼청,서촌,장충,반포,혜화,신촌,강남
월,16079.804114168475,7708.86579191265,9070.77827808565,10281.83439621429,4346.5872189576785,5158.816154890833,3181.641934528391,3437.7425483533807,9422.013856852824,4084.3718998971176,2897.3202826976153,1358.27893419179,3949.0156442828943,8047.562704604534,7148.032682503962,16704.092882189092
화,16387.450095687796,7764.905946749423,9779.483978082826,10559.753140184303,4418.251156841832,5314.900171029024,3219.039456938024,3465.1117919563626,9462.761311917933,4251.454150040415,3003.4886323844885,1370.3361750326194,3978.09470034357,8385.223402476604,7136.006960367323,16929.610371002615
수,16875.63124698969,7898.443733715865,9569.440552065404,10672.104938983284,4453.190896514215,5322.318615454734,3225.4729842320144,3508.3495994890873,9672.647632275946,4267.082254568198,3003.719172213826,1366.6443251243659,4009.131984792251,8426.285341423833,7465.640162439811,17461.180717621737
목,19749.973111688192,9235.865041077976,11468.02630580248,11824.548651634994,4843.621408497446,5971.7344739480195,3621.75537927957,3712.705060226492,10837.74127497449,4802.331464937037,3390.80271977947,1480.5291268897206,4440.378443774265,9468.270884165535,8220.183244617052,19802.09486048809
금,22763.208673343903,11673.658616670828,14645.615647346483,13925.489220076784,4805.121602162656,7600.677311984951,4287.853371565057,3985.8043715788144,12352.5695068852,6154.04677794012,4287.157954047345,1488.9393663237656,4639.584734588721,11349.057425629571,9259.048833251469,20035.92317193065
토,17947.20412644026,9888.317006125222,11821.600263317745,11655.702197883014,3780.2513309376623,6636.132880375573,3854.3827376969703,3296.8573986690476,9737.85691864414,5328.942641952293,3756.053077129061,1308.5316055257836,4075.8014832612957,9336.806504202917,7696.510735509028,15261.70367726747
일,15699.315929639495,7660.846188461602,9426.374616487354,10083.625531526755,4070.1549177118777,4954.978582069656,3081.204739575606,3192.855581728146,9019.919067905068,4045.2649027531534,2838.61879838146,1243.4232561228266,3770.3949693271916,7519.772604106008,6993.9757629460855,16007.04742030574
