Date,요일,place,trend,trend_rate,subway,subway_rate
2016-01-01,목,홍대,47514.094171395016,0.17304792059034135,141684.0,0.17366959825943062
2016-01-01,목,연남,24403.184822667983,0.08887721555021885,3906.0,0.004787791499402445
2016-01-01,목,이태원,26406.03412647163,0.09617165972143261,48338.0,0.05925045199644532
2016-01-01,목,익선,23092.369742388346,0.08410318317358115,85249.0,0.10449422363864799
2016-01-01,목,을지로,2298.162711400583,0.008369985481603791,101959.0,0.12497655747249717
2016-01-01,목,성수,2597.650745270005,0.009460730920543338,17678.0,0.02166886280758741
2016-01-01,목,한남,3246.1429525495428,0.011822561235227623,12928.0,0.015846535715380135
2016-01-01,목,청담,5517.588968080567,0.020095243616648245,21945.0,0.02689915116599761
2016-01-01,목,신사,32520.898314278238,0.11844219967059423,62061.0,0.07607146140410015
2016-01-01,목,삼청,13240.711696348113,0.0482231149756123,33742.0,0.041359360156896396
2016-01-01,목,장충,1658.0472928135398,0.00603866371158905,43876.0,0.05378114178898661
2016-01-01,목,반포,8432.400709753945,0.030711085496941428,25260.0,0.030962522599822268
2016-01-01,목,혜화,32318.877925395787,0.11770643465554725,57831.0,0.07088652590935555
2016-01-01,목,신촌,18943.522073448625,0.06899294116062636,82167.0,0.10071645267060951
2016-01-01,목,강남,32382.201172353667,0.11793706003949252,77201.0,0.09462936291484081
2016-01-02,금,홍대,46522.000974420145,0.15732386437057863,184472.0,0.14823112136788674
2016-01-02,금,연남,25910.27404997672,0.08762100414993743,5474.0,0.004398592514678715
2016-01-02,금,이태원,28032.80215841593,0.09479877632784606,58763.0,0.04721857726343905
2016-01-02,금,익선,27526.775316876934,0.09308754085820393,137420.0,0.11042283218252633
2016-01-02,금,을지로,2960.82337200839,0.010012642724873531,156436.0,0.1257029993836828
2016-01-02,금,성수,2761.818640827841,0.009339666655882718,26160.0,0.021020675956155498
2016-01-02,금,한남,3754.671922600329,0.012697207427341454,20837.0,0.016743418382966824
2016-01-02,금,청담,6750.199084299081,0.022827208266398287,39270.0,0.031555120213999484
2016-01-02,금,신사,35909.85202626045,0.1214366659089595,130655.0,0.1049868660952407
2016-01-02,금,삼청,13465.147287509031,0.0455352083147653,44439.0,0.03570863221772149
